ID;NOMBRE;APELLIDO;TELEFONO;ESTADO
1;Amalia;Amadeo;1189456670;ACTIVO
2;Brenda;Beloso;1190456678;ACTIVO
3;Lucia;Calero;1198345678;ACTIVO
4;Gilda;Dileo;1190456733;ACTIVO
5;Sol;Fabiola;1190334467;ACTIVO
6;Romina;Greco;1190456677;ACTIVO
7;Milagros;Hernandez;1190456677;ACTIVO
8;Candela;Iribarren;1122904466;ACTIVO
9;Joaquina;Jordan;1155611232;ACTIVO
10;Gisela;Lanzillotta;1134456678;ACTIVO
11;Micaela;Murci;1190231120;ACTIVO
12;Maria;Perez;1122343356;ACTIVO
13;Sasha;Ramirez;1199034117;ACTIVO
14;Mayra;Sosa;1109348844;ACTIVO
15;Erica;Tomson;1109334566;ACTIVO
16;Natalia;Vallejos;1122668822;ACTIVO
17;Ana;Wilson;1100772234;ACTIVO
18;Fernanda;Ximenez;1144096578;ACTIVO
19;Ludmila;Gimenez;1122287853;ACTIVO
20;Kiara;Amira;1133309843;ACTIVO
21;Marisa;Giorgio;1190834567;ACTIVO
22;Ana;Bernaz;1190774453;ACTIVO
23;Daniela;Pugliese;1120234566;ACTIVO
